relation_id,locale,note
density-negative-30-li-ao-nature-obscured-by-emotions-dai-zhen-li-fulfillment-feeling,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-30-li-ao-nature-obscured-by-emotions-dai-zhen-li-fulfillment-feeling,zh-CN,把情欲视为遮蔽清明善性的因素，与把理理解为恰当实现人情，代表压低情与成就情的修养差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-31-xiang-xiu-desire-natural-but-ritually-regulated-li-ao-nature-obscured-by-emotions,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-31-xiang-xiu-desire-natural-but-ritually-regulated-li-ao-nature-obscured-by-emotions,zh-CN,承认情欲属于自然生命并以礼调节，与把情欲活动视为本性之蔽，对欲望的地位判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-32-he-yan-nonbeing-ground-of-being-pei-wei-being-self-generates,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-32-he-yan-nonbeing-ground-of-being-pei-wei-being-self-generates,zh-CN,以无作为一切有的成立根据，与否认绝对无的生成能力、主张最初存在者自生，是有无本体论的正面对照。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-33-zhang-zai-great-void-qi-he-yan-nonbeing-ground-of-being,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-33-zhang-zai-great-void-qi-he-yan-nonbeing-ground-of-being,zh-CN,把太虚解释为气的无形状态而非虚无，与以无作为有的根据，在本原是否为气上形成差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-34-zhang-zai-great-void-qi-wang-bi-being-rooted-in-nonbeing,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-34-zhang-zai-great-void-qi-wang-bi-being-rooted-in-nonbeing,zh-CN,太虚即气的无形本体，与有根于无的论证，对无形本原是否仍是气作出不同回答。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-35-wang-fuzhi-dao-in-concrete-things-he-yan-nonbeing-ground-of-being,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-35-wang-fuzhi-dao-in-concrete-things-he-yan-nonbeing-ground-of-being,zh-CN,道不离具体器物的内在论，与具体事务以无形无名之道为根据，在道与事物能否分说上构成对照。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-36-wang-fuzhi-dao-in-concrete-things-wang-bi-being-rooted-in-nonbeing,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-36-wang-fuzhi-dao-in-concrete-things-wang-bi-being-rooted-in-nonbeing,zh-CN,没有器便没有可实现之道，与具体有须返回无形根基的路径，对本体和现象的优先次序判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-37-zhang-xuecheng-way-never-separate-instruments-wang-bi-being-rooted-in-nonbeing,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-37-zhang-xuecheng-way-never-separate-instruments-wang-bi-being-rooted-in-nonbeing,zh-CN,道须在器物制度与历史实践中考察，与以无形无名之无为有的根本，体现历史内在论和本体根源论的差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-38-chen-liang-dao-within-things-affairs-he-yan-nonbeing-ground-of-being,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-38-chen-liang-dao-within-things-affairs-he-yan-nonbeing-ground-of-being,zh-CN,道遍在形气日用而不在事物之外，与以无形之无为具体事务的根据，在道的存在方式上形成对照。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-39-wang-chong-spontaneous-generation-dong-zhongshu-heaven-warns-ruler,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-39-wang-chong-spontaneous-generation-dong-zhongshu-heaven-warns-ruler,zh-CN,天地之气自然生成且无目的，与天以灾异有意警告君主，在自然是否具有道德意向上相反。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-40-wang-chong-dead-lack-awareness-ge-hong-immortality-learnable,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-40-wang-chong-dead-lack-awareness-ge-hong-immortality-learnable,zh-CN,死亡意味着知觉终止，与凡人可借长期修炼达到长生，对死亡是否可被超越作出不同判断。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-41-fan-zhen-mind-function-of-body-ge-hong-immortality-learnable,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-41-fan-zhen-mind-function-of-body-ge-hong-immortality-learnable,zh-CN,精神只是形体功能、形亡神灭，与通过方术药物延长并转化生命的成仙方案，在形神存续上张力明显。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-42-huan-tan-spirit-dependent-on-body-ge-hong-immortality-learnable,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-42-huan-tan-spirit-dependent-on-body-ge-hong-immortality-learnable,zh-CN,精神如火依烛、形尽神灭，与凡人原则上能够修成不死，对生命终限的理解不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-43-zhang-junmai-mind-free-will-causality-fan-zhen-mind-function-of-body,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-43-zhang-junmai-mind-free-will-causality-fan-zhen-mind-function-of-body,zh-CN,精神包含不能还原为机械因果的自由意志，与精神只是生命形体的功能，是非还原论和功能依存论的对照。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-44-zhang-junmai-mind-free-will-causality-huan-tan-spirit-dependent-on-body,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-44-zhang-junmai-mind-free-will-causality-huan-tan-spirit-dependent-on-body,zh-CN,自由意志不能被自然因果穷尽，与精神完全依存形体的譬喻，对心灵自主性作出不同强调。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-45-fang-dongmei-universe-living-field-feng-youlan-true-real-realm,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-45-fang-dongmei-universe-living-field-feng-youlan-true-real-realm,zh-CN,把宇宙理解为生命流行的整体，与区分真际和实际并赋予普遍本体逻辑优先，代表生命论和形式本体论差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-46-xiong-shili-reality-internal-self-realization-hu-shi-hypothesis-verification-method,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-46-xiong-shili-reality-internal-self-realization-hu-shi-hypothesis-verification-method,zh-CN,根本真实依本心内在自证把握，与以材料检验可复核假说，分别代表体证和公共验证的方法。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-47-xiong-shili-reality-internal-self-realization-mao-zedong-practice-truth,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-47-xiong-shili-reality-internal-self-realization-mao-zedong-practice-truth,zh-CN,真实只能在本心内部自证，与认识真理性须由社会实践结果检验，对最终证成场域判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-48-zhang-junmai-science-limited-before-free-life-outlook-hu-shi-hypothesis-verification-method,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-48-zhang-junmai-science-limited-before-free-life-outlook-hu-shi-hypothesis-verification-method,zh-CN,科学方法不能决定人生观和自由价值，与把假说—材料验证推广到人文学术，在科学方法适用边界上侧重不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-49-hu-shi-problems-before-isms-ai-siqi-philosophy-worldview-practical,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-49-hu-shi-problems-before-isms-ai-siqi-philosophy-worldview-practical,zh-CN,从具体问题调查出发并警惕抽象主义，与以系统世界观指导认识行动，对理论体系在实践中的优先级不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-50-mao-zedong-contradiction-particularity-method-feng-youlan-universal-particular-logical-analysis,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-50-mao-zedong-contradiction-particularity-method-feng-youlan-universal-particular-logical-analysis,zh-CN,强调具体过程中特殊矛盾和主要方面，与以逻辑分析把握普遍之理，对哲学方法的起点侧重不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-51-gu-yanwu-classics-ground-principle-learning-chen-xianzhang-stillness-moral-intimation,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-51-gu-yanwu-classics-ground-principle-learning-chen-xianzhang-stillness-moral-intimation,zh-CN,以可考经典、文字和制度事实约束义理，与由静坐澄心培养道德端倪，体现外在证据和内在体认的路径差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-52-yan-yuan-learning-through-active-practice-chen-xianzhang-stillness-moral-intimation,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-52-yan-yuan-learning-through-active-practice-chen-xianzhang-stillness-moral-intimation,zh-CN,以礼乐射御等身体习行养成德性，与端坐澄心、在静中获得自得，对学习的主要场域判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-53-yan-yuan-knowledge-through-practice-zhu-xi-investigate-things-cumulative,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-53-yan-yuan-knowledge-through-practice-zhu-xi-investigate-things-cumulative,zh-CN,强调亲身习行才算真正知识，与逐事穷理、长期累积而贯通的认识路径，分别突出行动和考察。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-54-zhang-xuecheng-six-classics-are-history-ma-yifu-six-arts-interconnected-hermeneutic-whole,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-54-zhang-xuecheng-six-classics-are-history-ma-yifu-six-arts-interconnected-hermeneutic-whole,zh-CN,六经是古代政教实践的历史遗迹，与六艺构成内在互释的义理整体，对经典的历史性和系统性侧重不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-55-li-zhi-childlike-mind-authenticity-gu-yanwu-classics-ground-principle-learning,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-55-li-zhi-childlike-mind-authenticity-gu-yanwu-classics-ground-principle-learning,zh-CN,真实言说以未受成见遮蔽的童心为根，与义理须由经学文字制度材料检验，在思想权威来源上形成对照。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-56-ji-kang-sound-without-emotion-xu-fuguan-heart-fasting-artistic-subject,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-56-ji-kang-sound-without-emotion-xu-fuguan-heart-fasting-artistic-subject,zh-CN,声音本身不内含哀乐、情感来自听者，与由心斋修养形成审美主体，分别从对象属性和主体状态解释审美经验。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-57-zhuangzi-perspectives-xunzi-rectification-names,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-57-zhuangzi-perspectives-xunzi-rectification-names,zh-CN,是非判断随立场变化、固定分别不足穷物，与通过制名指实建立稳定秩序，对语言分类的可靠性判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-58-laozi-language-dao-xunzi-rectification-names,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-58-laozi-language-dao-xunzi-rectification-names,zh-CN,恒常之道不能被固定言名穷尽，与制名指实可使道行志通，对命名能力的边界判断不同。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-negative-59-gongsun-long-white-horse-not-horse-xunzi-rectification-names,en,"Analytical contrast between two reviewed claims. This link does not assert direct debate, transmission, or historical influence."
density-negative-59-gongsun-long-white-horse-not-horse-xunzi-rectification-names,zh-CN,以名义条件差异拆分白马与马，与以约定名称辨同异、服务政治秩序，体现分析名辩与规范正名的差异。 本关系仅表示对已审命题的分析性对照，不主张直接争论、师承或历史影响。
density-xp-ancient-hantang-01-zhuangzi-ten-thousand-one-dong-zhongshu-five-phases-governance,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-01-zhuangzi-ten-thousand-one-dong-zhongshu-five-phases-governance,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-02-liezi-ceaseless-generation-transformation-dong-zhongshu-five-phases-governance,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-02-liezi-ceaseless-generation-transformation-dong-zhongshu-five-phases-governance,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-03-xunzi-heaven-constant-huan-tan-spirit-dependent-on-body,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-03-xunzi-heaven-constant-huan-tan-spirit-dependent-on-body,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-04-mozi-will-heaven-dong-zhongshu-five-phases-governance,en,"These cross-period claims share the project domains tiandao-metaphysics, politics-governance. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-04-mozi-will-heaven-dong-zhongshu-five-phases-governance,zh-CN,两项跨时期命题共同归入“天道与形上、政治与治理”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-05-zhuangzi-no-fixed-self-yang-xiong-nature-mixed-cultivation,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-05-zhuangzi-no-fixed-self-yang-xiong-nature-mixed-cultivation,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-06-mencius-flood-like-qi-yang-xiong-nature-mixed-cultivation,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-06-mencius-flood-like-qi-yang-xiong-nature-mixed-cultivation,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-07-mencius-moral-sprouts-yang-xiong-nature-mixed-cultivation,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-07-mencius-moral-sprouts-yang-xiong-nature-mixed-cultivation,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-08-zhuangzi-ten-thousand-one-huan-tan-spirit-dependent-on-body,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-08-zhuangzi-ten-thousand-one-huan-tan-spirit-dependent-on-body,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-09-xunzi-heaven-constant-wang-chong-spontaneous-generation,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-09-xunzi-heaven-constant-wang-chong-spontaneous-generation,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-10-xunzi-encouragement-learning-ban-zhao-educate-women,en,"These cross-period claims share the project domains ethics-cultivation, education-hermeneutics. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-10-xunzi-encouragement-learning-ban-zhao-educate-women,zh-CN,两项跨时期命题共同归入“伦理与修养、教育与诠释”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-11-xunzi-rightness-profit-ban-zhao-educate-women,en,"These cross-period claims share the project domains ethics-cultivation, society-world. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-11-xunzi-rightness-profit-ban-zhao-educate-women,zh-CN,两项跨时期命题共同归入“伦理与修养、社会与天下”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-12-zhuangzi-ten-thousand-one-wang-chong-spontaneous-generation,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-12-zhuangzi-ten-thousand-one-wang-chong-spontaneous-generation,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-13-li-si-state-strength-through-inclusion-wang-fu-people-ground-state,en,"These cross-period claims share the project domains politics-governance, society-world. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-13-li-si-state-strength-through-inclusion-wang-fu-people-ground-state,zh-CN,两项跨时期命题共同归入“政治与治理、社会与天下”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-14-confucius-harmony-difference-sima-tan-six-schools-shared-governance,en,"These cross-period claims share the project domains politics-governance, history-culture. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-14-confucius-harmony-difference-sima-tan-six-schools-shared-governance,zh-CN,两项跨时期命题共同归入“政治与治理、历史与文化”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-15-liezi-ceaseless-generation-transformation-huan-tan-spirit-dependent-on-body,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-15-liezi-ceaseless-generation-transformation-huan-tan-spirit-dependent-on-body,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-16-confucius-harmony-difference-sima-qian-death-value-by-purpose,en,"These cross-period claims share the project domains ethics-cultivation, history-culture. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-16-confucius-harmony-difference-sima-qian-death-value-by-purpose,zh-CN,两项跨时期命题共同归入“伦理与修养、历史与文化”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-17-laozi-model-naturalness-liu-an-dao-encompasses-cosmos,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-17-laozi-model-naturalness-liu-an-dao-encompasses-cosmos,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-ancient-hantang-18-laozi-model-naturalness-liu-an-qi-differentiates-cosmos,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-ancient-hantang-18-laozi-model-naturalness-liu-an-qi-differentiates-cosmos,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-01-zhi-dun-freedom-not-mere-satisfaction-wu-cheng-dao-within-mind,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation, tiandao-metaphysics. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-01-zhi-dun-freedom-not-mere-satisfaction-wu-cheng-dao-within-mind,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养、天道与形上”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-02-zhi-dun-freedom-not-mere-satisfaction-wang-ji-four-nothings,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation, tiandao-metaphysics. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-02-zhi-dun-freedom-not-mere-satisfaction-wang-ji-four-nothings,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养、天道与形上”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-03-zongmi-sudden-awakening-gradual-cultivation-cheng-yi-nature-is-principle,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-03-zongmi-sudden-awakening-gradual-cultivation-cheng-yi-nature-is-principle,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-04-liu-zongyuan-heaven-human-separate-functions-shao-yong-cosmos-correlative-pairs,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-04-liu-zongyuan-heaven-human-separate-functions-shao-yong-cosmos-correlative-pairs,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-05-zongmi-sudden-awakening-gradual-cultivation-cheng-yi-reverence-investigation,en,"These cross-period claims share the project domains knowledge-method, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-05-zongmi-sudden-awakening-gradual-cultivation-cheng-yi-reverence-investigation,zh-CN,两项跨时期命题共同归入“知识与方法、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-06-li-ao-nature-obscured-by-emotions-cheng-yi-nature-is-principle,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-06-li-ao-nature-obscured-by-emotions-cheng-yi-nature-is-principle,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-07-mazu-mind-is-buddha-cheng-yi-nature-is-principle,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-07-mazu-mind-is-buddha-cheng-yi-nature-is-principle,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-08-linji-master-of-every-situation-lu-jiuyuan-mind-universe,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-08-linji-master-of-every-situation-lu-jiuyuan-mind-universe,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-09-zongmi-sudden-awakening-gradual-cultivation-hu-hong-nature-beyond-good-evil,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-09-zongmi-sudden-awakening-gradual-cultivation-hu-hong-nature-beyond-good-evil,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-10-huangbo-one-mind-no-external-buddha-lu-jiuyuan-mind-universe,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-10-huangbo-one-mind-no-external-buddha-lu-jiuyuan-mind-universe,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-11-li-ao-nature-obscured-by-emotions-hu-hong-nature-beyond-good-evil,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-11-li-ao-nature-obscured-by-emotions-hu-hong-nature-beyond-good-evil,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-12-li-ao-nature-obscured-by-emotions-lu-jiuyuan-remove-obscurations-original-mind,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-12-li-ao-nature-obscured-by-emotions-lu-jiuyuan-remove-obscurations-original-mind,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-13-liu-zongyuan-heaven-human-separate-functions-zhu-xi-ren-generative-heart,en,"These cross-period claims share the project domains tiandao-metaphysics, nature-technology. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-13-liu-zongyuan-heaven-human-separate-functions-zhu-xi-ren-generative-heart,zh-CN,两项跨时期命题共同归入“天道与形上、自然与技艺”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-14-liu-zongyuan-heaven-human-separate-functions-chen-liang-dao-within-things-affairs,en,"These cross-period claims share the project domains tiandao-metaphysics, politics-governance. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-14-liu-zongyuan-heaven-human-separate-functions-chen-liang-dao-within-things-affairs,zh-CN,两项跨时期命题共同归入“天道与形上、政治与治理”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-15-mazu-mind-is-buddha-hu-hong-nature-beyond-good-evil,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-15-mazu-mind-is-buddha-hu-hong-nature-beyond-good-evil,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-16-mazu-mind-is-buddha-lu-jiuyuan-remove-obscurations-original-mind,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-16-mazu-mind-is-buddha-lu-jiuyuan-remove-obscurations-original-mind,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
density-xp-hantang-songqing-17-shenhui-no-thought-and-nonaction-lu-jiuyuan-remove-obscurations-original-mind,en,"These cross-period claims share the project domains mind-human-nature, ethics-cultivation. The link records analytical similarity only, not historical influence or transmission."
density-xp-hantang-songqing-17-shenhui-no-thought-and-nonaction-lu-jiuyuan-remove-obscurations-original-mind,zh-CN,两项跨时期命题共同归入“心性与人性、伦理与修养”领域；本关系只表示项目分类体系中的分析性相似，不表示历史影响或师承。
