statement_id,source_id,locator,evidence_role
tu-weiming-anthropocosmic-embedded-humanity,tu-ecological-turn-2001,"Daedalus 130.4 (2001), p. 244",secondary
wang-hui-depoliticization-naturalizes-power,wang-hui-depoliticized-2006,"New Left Review II/41 (2006), pp. 39–45, especially “State and ideology”",primary
zhao-tingyang-world-as-political-unit,zhao-tingyang-tianxia-2009,"Diogenes 56.1 (2009), abstract, pp. 5–6",secondary
yang-guorong-concrete-metaphysics-authentic-being,yang-guorong-philosophical-horizons-2019,"Philosophical Horizons, chap. 1 “Metaphysics and the Metaphysical,” pp. 1–22; chap. 7, pp. 183–210",secondary
robin-wang-yinyang-relational-generativity,robin-wang-yinyang-2012,"Yinyang, Introduction, pp. 6–12; chap. 2, pp. 41–82",primary
jiang-qing-triple-political-legitimacy,jiang-qing-humane-authority-2013,"A Confucian Constitutional Order, chap. 1, section “Threefold Legitimacy”",primary
chen-lai-relational-value-priorities,chen-lai-core-values-2015,《中华文明的核心价值》导论；清华大学机构页首段,primary
huang-yong-self-other-one-body,huang-yong-egoism-altruism-2018,"Frontiers of Philosophy in China 13.2 (2018), abstract and pp. 226–230",secondary
bai-tongdong-confucian-hybrid-regime,bai-tongdong-against-equality-2019,"Against Political Equality, book abstract and chap. 3 “A Confucian Hybrid Regime”",secondary
li-chenyang-dynamic-harmony-through-difference,li-chenyang-dynamic-harmony-2023,"Reshaping Confucianism, chap. 1, pp. 27–52; Oxford Academic abstract",secondary
